course_id,name,credits,category,sub_category
45040001,自主學習專題：自由軟體GIMP影像編修與應用,2,一般通識,書院通識
46001011,程式設計概論,3,一般通識,資訊通識
46001061,程式設計概論,3,一般通識,資訊通識
46002001,探索數位世界,3,一般通識,資訊通識
46001001,程式設計概論,3,一般通識,資訊通識
46001021,程式設計概論,3,一般通識,資訊通識
46001031,程式設計概論,3,一般通識,資訊通識
46001041,程式設計概論,3,一般通識,資訊通識
46001051,程式設計概論,3,一般通識,資訊通識
46001101,程式設計概論,3,一般通識,資訊通識
46001111,程式設計概論,3,一般通識,資訊通識
46001121,程式設計概論,3,一般通識,資訊通識
46001071,程式設計概論,3,一般通識,資訊通識
46001081,程式設計概論,3,一般通識,資訊通識
46001091,程式設計概論,3,一般通識,資訊通識
46002011,探索數位世界,3,一般通識,資訊通識
46004001,生活中的數學、邏輯與運算思維,3,一般通識,資訊通識
10114001,國際公法,2,選修,
10118001,中國外交史,3,選修,
10100001,中級會計學（一）,3,選修,
10120001,審計學（一）,3,選修,
10069011,英語口語訓練,2,選修,
10082001,英語語音學,3,選修,
10091001,英美文學,3,選修,
10032001,英語語言學概論,2,選修,
10069021,英語口語訓練,2,選修,
10095001,英文作文（一）,2,選修,
10097001,英文作文（二）,2,選修,
10108001,閱讀指導,2,選修,
10102041,初級日語,3,選修,
10103011,日語會話（一）,2,選修,
10103041,日語會話（一）,2,選修,
10103051,日語會話（一）,2,選修,
10103081,日語會話（一）,2,選修,
10104001,中級日語,3,選修,
10104021,中級日語,3,選修,
10105011,日語會話（二）,2,選修,
10105051,日語會話（二）,2,選修,
10107001,日文寫作,2,選修,
10107051,日文寫作,2,選修,
10113001,高級日語,2,選修,
10113011,高級日語,2,選修,
10131031,日語演習（一）,1,選修,
10131051,日語演習（一）,1,選修,
10132011,日語演習（二）,1,選修,
10132021,日語演習（二）,1,選修,
10132041,日語演習（二）,1,選修,
10102011,初級日語,3,選修,
10102081,初級日語,3,選修,
10104011,中級日語,3,選修,
10105021,日語會話（二）,2,選修,
10107041,日文寫作,2,選修,
10107061,日文寫作,2,選修,
10131011,日語演習（一）,1,選修,
10131041,日語演習（一）,1,選修,
10132001,日語演習（二）,1,選修,
10132051,日語演習（二）,1,選修,
10924001,商用日文書信１,2,選修,
10102021,初級日語,3,選修,
10102031,初級日語,3,選修,
10103031,日語會話（一）,2,選修,
10103061,日語會話（一）,2,選修,
10103071,日語會話（一）,2,選修,
10104031,中級日語,3,選修,
10105041,日語會話（二）,2,選修,
10105071,日語會話（二）,2,選修,
10107031,日文寫作,2,選修,
10928001,商用日語會話１,2,選修,
10122031,初級韓國語,3,選修,
10123001,中級韓國語,3,選修,
10123011,中級韓國語,3,選修,
10125021,韓語語法（１）,2,選修,
10923001,高級韓國語,3,選修,
10122001,初級韓國語,3,選修,
10123021,中級韓國語,3,選修,
10122011,初級韓國語,3,選修,
10122021,初級韓國語,3,選修,
10125001,韓語語法（１）,2,選修,
10125011,韓語語法（１）,2,選修,
10922001,韓語口說訓練（一）,3,選修,
10029001,民法總則,3,選修,
10030001,刑法（一）,3,選修,
70344001,專題二：台灣近代史,3,選修,
158742001,專題二：台灣近代史,3,選修,
70343001,臺灣文化初探,2,選修,
70351001,台港流行文化歷史與明星研究,2,選修,
158896001,近現代大眾文化史專題,2,選修,
70257001,語用學,3,選修,
70341001,華人文化與社會,3,選修,
70028001,文字學,3,選修,
70340001,華文學程－語法學,3,選修,
70342001,華語文測驗與評量,3,選修,
504024001,初級俄語語法,3,選修,
504024011,初級俄語語法,3,選修,
504024021,初級俄語語法,3,選修,
504032011,中級俄語語法,3,選修,
504032021,中級俄語語法,3,選修,
504046001,進階俄語：綜合,4,選修,
504054001,初級俄語會話,2,選修,
504062001,波蘭國情概論,2,選修,
504087001,俄羅斯概論,2,選修,
504794001,俄語翻譯（一）,2,選修,
504811001,用俄語說台灣：國情、飲食、觀光、運輸,2,選修,
504822001,初級俄語視聽訓練（一）,2,選修,
504827001,捷克文（三）,3,選修,
504901001,捷語會話（二）,3,選修,
504919001,波蘭文（三）,3,選修,
504032001,中級俄語語法,3,選修,
504046011,進階俄語：綜合,4,選修,
504054011,初級俄語會話,2,選修,
504054021,初級俄語會話,2,選修,
504061001,進階俄語：經貿,2,選修,
504789001,漢俄比較類型學暨華語教學,2,選修,
504804001,進階俄語視聽訓練（一）,2,選修,
504820001,中級俄語口說訓練（一）,2,選修,
504831001,捷克文（二）,3,選修,
504886001,初級俄語口說訓練（一）,2,選修,
504900001,波語會話（二）,3,選修,
504902001,捷語會話（一）,3,選修,
504927001,波蘭文（二）,3,選修,
504055001,中級俄語會話,2,選修,
504055011,中級俄語會話,2,選修,
504055021,中級俄語會話,2,選修,
504059001,進階俄語：文化,2,選修,
504806001,波蘭歷史與宗教：從多神到一神,2,選修,
504809001,中級俄語視聽訓練（一）,2,選修,
504830001,波蘭文（一）,3,選修,
504834001,捷克文（一）,3,選修,
504838001,俄語（一）,3,選修,
504839001,俄語（二）,3,選修,
504906001,俄羅斯詩歌選讀,2,選修,
504910001,波語會話（一）,3,選修,
405939001,新傳播科技,3,選修,
405940001,影像概論,3,選修,
405001001,傳播概論,3,選修,
508052001,大一土耳其語,3,選修,
508079011,土耳其語視聽與會話（一）,3,選修,
508856001,世界文明中的土耳其人,3,選修,
508857001,絲路經濟與土耳其民族,3,選修,
599874001,大學外文（一）：土耳其語,3,選修,
599889011,大學外文（一）：泰文,3,選修,
599893011,大學外文（一）：越南文,3,選修,
599901001,大學外文（一）：韓語,3,選修,
599915001,大學外文（一）：波蘭文,3,選修,
599935001,大學外文（三）：日文,3,選修,
599941001,大學外文（三）：法文,3,選修,
599943021,大學外文（一）：西班牙文,3,選修,
599943041,大學外文（一）：西班牙文,3,選修,
599944001,大學外文（一）：法文,3,選修,
599944031,大學外文（一）：法文,3,選修,
599945021,大學外文（一）：德文,3,選修,
599946031,大學外文（一）：日文,3,選修,
405001021,傳播概論,3,選修,
508049001,土耳其通論,3,選修,
508079001,土耳其語視聽與會話（一）,3,選修,
599876001,大學外文（三）：印尼文,3,選修,
599893001,大學外文（一）：越南文,3,選修,
599903001,大學外文（三）：韓語,3,選修,
599943001,大學外文（一）：西班牙文,3,選修,
599943031,大學外文（一）：西班牙文,3,選修,
599944021,大學外文（一）：法文,3,選修,
599945011,大學外文（一）：德文,3,選修,
405001031,傳播概論,3,選修,
501861001,語法學導論,3,選修,
405001011,傳播概論,3,選修,
599782001,大學外文（一）：印尼文,3,選修,
599791001,大學外文（一）：俄語,3,選修,
599891001,大學外文（三）：泰文,3,選修,
599895001,大學外文（三）：越南文,3,選修,
599901011,大學外文（一）：韓語,3,選修,
599917001,大學外文（一）：捷克文,3,選修,
599940001,大學外文（三）：德文,3,選修,
599942001,大學外文（三）：西班牙文,3,選修,
599943011,大學外文（一）：西班牙文,3,選修,
599944011,大學外文（一）：法文,3,選修,
599944041,大學外文（一）：法文,3,選修,
599945001,大學外文（一）：德文,3,選修,
599945031,大學外文（一）：德文,3,選修,
599945041,大學外文（一）：德文,3,選修,
599946001,大學外文（一）：日文,3,選修,
599946011,大學外文（一）：日文,3,選修,
599946021,大學外文（一）：日文,3,選修,
353008001,高等審計學,3,選修,
353780001,商業資料分析：Python（1）,3,選修,
353810001,電腦審計,1,選修,
353815001,大數據之基本常識及運用探討,3,選修,
353909001,會計數量方法,3,選修,
353912001,策略管理,2,選修,
353787001,策略價值管理－企業實作,3,選修,
353790001,財務報導目的之評價,3,選修,
353807001,投資自己成為會計達人：黃金產業面面觀,3,選修,
353824001,全球化趨勢下之會計專業新視界,3,選修,
353857001,大陸租稅研究,3,選修,
353002001,高等管理會計,3,選修,
353010001,租稅法研究,3,選修,
353796001,會計實務與法律專題研究（一）,2,選修,
353817001,政府會計,3,選修,
353866001,實證性會計研究,3,選修,
754009001,細胞分子生物學,2,選修,
934010001,專題討論—生物科技管理實務,1,選修,
934536001,生物學（上）,2,選修,
364049001,創新與智慧財產,3,選修,
364053001,專利實務,3,選修,
364072001,科技與創新管理,3,選修,
364892001,專題討論－生物科技管理實務,1,選修,
934508001,分子生物學,3,選修,
934509001,細胞生物學,2,選修,
934537001,普通生物學（上）,2,選修,
934538001,普通生物學,3,選修,
934631001,科技與創新管理,3,選修,
934633001,生物化學,2,選修,
754008001,神經科學,3,選修,
934015001,生命科學總論（上）,2,選修,
934016001,生物藥學通論,2,選修,
934505001,生物藥學通論,2,選修,
601154011,民法總則,3,選修,
601159001,民法債編總論（二）,3,選修,
601159011,民法債編總論（二）,3,選修,
601159021,民法債編總論（二）,3,選修,
755947001,量子計算,3,選修,
782001001,普通物理學（一）,3,選修,
782003001,近代物理學,3,選修,
782014001,量子計算,3,選修,
601154001,民法總則,3,選修,
601596001,專利法,2,選修,
703019001,計算機結構與組織,3,必修,
782002001,普通物理學實驗（一）,1,選修,
601154021,民法總則,3,選修,
501056001,翻譯專題：翻譯的基本概念及技巧,3,選修,
506005001,初級日語,4,選修,
506073001,日本名著選讀Ａ１：語言,2,選修,
506845001,日譯中理論與實務１,2,選修,
501914001,現代戲劇,3,選修,
501045001,翻譯專題：翻譯理論,3,選修,
501064001,翻譯專題：理論與實務,3,選修,
506075001,日本名著選讀Ｃ１：歷史文化,2,選修,
506074001,日本名著選讀Ｂ１：文學,2,選修,
508059001,土耳其文學概論,2,選修,
508084001,土耳其語翻譯,2,選修,
300824001,電子商務實作研習,3,選修,
305756001,數據分析與精實六標準差,3,選修,
305775001,電子商務實作研習,3,選修,
306009011,系統分析與設計,3,選修,
300790001,數據分析與精實六標準差,3,選修,
302833011,金融數量,3,選修,
304030001,程式設計與統計軟體,2,選修,
304838001,程式設計與統計軟體實務,1,選修,
300933001,數理統計學,3,選修,
302018001,銀行經營管理,3,選修,
302044001,金融機構管理,3,選修,
304004001,線性代數,3,選修,
304025001,機率論,3,選修,
352050001,財務數學（一）,3,選修,
701002011,線性代數,4,選修,
701008001,微分方程,3,選修,
701012001,作業研究,3,選修,
701001001,微積分,4,選修,
701003001,高等微積分,4,選修,
701006001,機率論,3,選修,
555005001,音韻學,3,選修,
501065001,語言與認知,3,選修,
555002001,句法學,3,選修,
70142011,管理學,3,選修,
70163021,商用英文：口語溝通與談判技巧,3,選修,
70167081,初級會計學（一）,3,選修,
70167091,初級會計學（一）,3,選修,
70142021,管理學,3,選修,
70144001,行銷管理,3,選修,
70153001,財務管理,3,選修,
782032001,電子學（一）,3,選修,
782026001,專題研究（二）,3,選修,
782004001,電磁學（一）,3,選修,
70171011,選修英文：閱讀與口語訓練（ETP專班）,3,選修,
70171021,選修英文：閱讀與口語訓練（ETP專班）,3,選修,
70172011,選修英文：學術聽說訓練（ETP專班）,3,選修,
70173011,選修英文：英文寫作（ETP專班）,3,選修,
400800001,公共關係理論與實務應用,3,選修,
400889001,數位媒體與娛樂法,3,選修,
400872001,科學、媒體與公眾,3,選修,
400901001,電子遊戲與社會,3,選修,
